country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,,,
United States,California,Alameda County,2020/2/15,1,0,22,1,0,-1,,,
United States,California,Alameda County,2020/2/16,7,0,24,5,1,-2,,,
United States,California,Alameda County,2020/2/17,13,1,55,-31,-53,11,,,
United States,California,Alameda County,2020/2/18,-2,3,21,3,0,0,,,
United States,California,Alameda County,2020/2/19,-1,0,14,1,0,0,,,
United States,California,Alameda County,2020/2/20,1,1,13,2,0,0,,,
United States,California,Alameda County,2020/2/21,1,1,8,-1,3,0,,,
United States,California,Alameda County,2020/2/22,1,3,18,-2,4,-1,,,
United States,California,Alameda County,2020/2/23,4,4,26,15,3,-1,,,
United States,California,Alameda County,2020/2/24,0,0,9,0,4,0,,,
United States,California,Alameda County,2020/2/25,1,2,26,5,3,-1,,,
United States,California,Alameda County,2020/2/26,2,2,20,3,2,-1,,,
United States,California,Alameda County,2020/2/27,4,4,23,4,2,-1,,,
United States,California,Alameda County,2020/2/28,3,5,8,0,4,0,,,
United States,California,Alameda County,2020/2/29,2,7,14,-4,3,-1,,,
United States,California,Alameda County,2020/3/1,6,9,15,1,4,0,,,
United States,California,Alameda County,2020/3/2,4,7,7,-1,3,0,,,
United States,California,Alameda County,2020/3/3,5,12,41,0,1,-1,,,
United States,California,Alameda County,2020/3/4,1,6,23,-3,1,0,,,
United States,California,Alameda County,2020/3/5,1,6,12,-5,-1,1,,,
United States,California,Alameda County,2020/3/6,1,5,-1,-7,0,2,,,
United States,California,Alameda County,2020/3/7,-6,4,-23,-14,1,3,,,
United States,California,Alameda County,2020/3/8,-2,4,14,-8,1,1,,,
United States,California,Alameda County,2020/3/9,0,6,18,-15,-6,4,,,
United States,California,Alameda County,2020/3/10,-1,8,29,-15,-9,4,,,
United States,California,Alameda County,2020/3/11,-1,7,31,-18,-12,5,,,
United States,California,Alameda County,2020/3/12,-1,16,26,-25,-16,7,,,
United States,California,Alameda County,2020/3/13,-6,26,3,-30,-17,8,,,
United States,California,Alameda County,2020/3/14,-25,11,-55,-39,-8,9,,,
United States,California,Alameda County,2020/3/15,-25,6,-41,-36,-11,8,,,
United States,California,Alameda County,2020/3/16,-6,39,-18,-44,-36,14,,,
United States,California,Alameda County,2020/3/17,-44,-4,-10,-61,-59,26,,,
