countyFIPS,County_Name,population,population_density
6001,Alameda County,1671329,1899 
6003,Alpine County,1129,2 
6005,Amador County,39752,61 
6007,Butte County,219186,132 
6009,Calaveras County,45905,43 
6011,Colusa County,21547,19 
6013,Contra Costa County,1153526,1345 
6015,Del Norte County,27812,23 
6017,El Dorado County,192843,102 
6019,Fresno County,999101,158 
6021,Glenn County,28393,21 
6023,Humboldt County,135558,33 
6025,Imperial County,181215,40 
6027,Inyo County,18039,2 
6029,Kern County,900202,105 
6031,Kings County,152940,109 
6033,Lake County,64386,48 
6035,Lassen County,30573,7 
6037,Los Angeles County,10039107,2099 
6039,Madera County,157327,71 
6041,Marin County,258826,310 
6043,Mariposa County,17203,12 
6045,Mendocino County,86749,23 
6047,Merced County,277680,132 
6049,Modoc County,8841,2 
6051,Mono County,14444,5 
6053,Monterey County,434061,113 
6055,Napa County,137744,177 
6057,Nevada County,99755,101 
6059,Orange County,3175692,3255 
6061,Placer County,398329,241 
6063,Plumas County,18807,7 
6065,Riverside County,2470546,310 
6067,Sacramento County,1552058,1459 
6069,San Benito County,62808,41 
6071,San Bernardino County,2180085,103 
6073,San Diego County,3338330,703 
6075,San Francisco County,881549,3575 
6077,San Joaquin County,762148,491 
6079,San Luis Obispo County,283111,76 
6081,San Mateo County,766573,999 
6083,Santa Barbara County,446499,114 
6085,Santa Clara County,1927852,1412 
6087,Santa Cruz County,273213,440 
6089,Shasta County,180080,46 
6091,Sierra County,3005,3 
6093,Siskiyou County,43539,7 
6095,Solano County,447643,465 
6097,Sonoma County,494336,278 
6099,Stanislaus County,550660,345 
6101,Sutter County,96971,156 
6103,Tehama County,65084,21 
6105,Trinity County,12285,4 
6107,Tulare County,466195,93 
6109,Tuolumne County,54478,24 
6111,Ventura County,846006,379 
6113,Yolo County,220500,200 
6115,Yuba County,78668,114 
